'Elapsed time','ECG ECG'
'seconds','mV'
0.000,-0.030
0.002,-0.034
0.004,-0.039
0.006,-0.043
0.008,-0.046
0.010,-0.046
0.012,-0.044
0.014,-0.038
0.016,-0.030
0.018,-0.022
0.020,-0.014
0.022,-0.008
0.024,-0.004
0.026,-0.002
0.028,-0.003
0.030,-0.006
0.032,-0.009
0.034,-0.013
0.036,-0.017
0.038,-0.020
0.040,-0.022
0.042,-0.023
0.044,-0.023
0.046,-0.022
0.048,-0.021
0.050,-0.020
0.052,-0.019
0.054,-0.018
0.056,-0.017
0.058,-0.015
0.060,-0.012
0.062,-0.008
0.064,-0.003
0.066,0.002
0.068,0.007
0.070,0.011
0.072,0.013
0.074,0.015
0.076,0.016
0.078,0.018
0.080,0.020
0.082,0.022
0.084,0.024
0.086,0.026
0.088,0.026
0.090,0.026
0.092,0.025
0.094,0.023
0.096,0.021
0.098,0.020
0.100,0.020
0.102,0.021
0.104,0.024
0.106,0.027
0.108,0.032
0.110,0.036
0.112,0.041
0.114,0.045
0.116,0.048
0.118,0.050
0.120,0.051
0.122,0.052
0.124,0.052
0.126,0.053
0.128,0.055
0.130,0.057
0.132,0.060
0.134,0.064
0.136,0.068
0.138,0.072
0.140,0.075
0.142,0.078
0.144,0.081
0.146,0.084
0.148,0.087
0.150,0.091
0.152,0.095
0.154,0.100
0.156,0.104
0.158,0.109
0.160,0.114
0.162,0.119
0.164,0.123
0.166,0.127
0.168,0.130
0.170,0.134
0.172,0.138
0.174,0.141
0.176,0.146
0.178,0.150
0.180,0.156
0.182,0.163
0.184,0.170
0.186,0.178
0.188,0.186
0.190,0.195
0.192,0.203
0.194,0.210
0.196,0.216
0.198,0.222
0.200,0.228
0.202,0.232
0.204,0.236
0.206,0.240
0.208,0.244
0.210,0.248
0.212,0.252
0.214,0.255
0.216,0.258
0.218,0.261
0.220,0.263
0.222,0.264
0.224,0.264
0.226,0.264
0.228,0.264
0.230,0.263
0.232,0.261
0.234,0.259
0.236,0.255
0.238,0.249
0.240,0.241
0.242,0.232
0.244,0.221
0.246,0.210
0.248,0.197
0.250,0.185
0.252,0.172
0.254,0.160
0.256,0.149
0.258,0.137
0.260,0.125
0.262,0.113
0.264,0.099
0.266,0.083
0.268,0.067
0.270,0.049
0.272,0.032
0.274,0.016
0.276,0.002
0.278,-0.009
0.280,-0.018
0.282,-0.023
0.284,-0.026
0.286,-0.027
0.288,-0.028
0.290,-0.028
0.292,-0.030
0.294,-0.033
0.296,-0.038
0.298,-0.043
0.300,-0.050
0.302,-0.056
0.304,-0.062
0.306,-0.068
0.308,-0.073
0.310,-0.078
0.312,-0.082
0.314,-0.085
0.316,-0.089
0.318,-0.091
0.320,-0.093
0.322,-0.094
0.324,-0.094
0.326,-0.093
0.328,-0.092
0.330,-0.091
0.332,-0.091
0.334,-0.090
0.336,-0.090
0.338,-0.091
0.340,-0.091
0.342,-0.092
0.344,-0.093
0.346,-0.094
0.348,-0.094
0.350,-0.094
0.352,-0.092
0.354,-0.091
0.356,-0.088
0.358,-0.087
0.360,-0.086
0.362,-0.086
0.364,-0.087
0.366,-0.088
0.368,-0.089
0.370,-0.088
0.372,-0.087
0.374,-0.084
0.376,-0.081
0.378,-0.078
0.380,-0.076
0.382,-0.075
0.384,-0.074
0.386,-0.073
0.388,-0.071
0.390,-0.069
0.392,-0.065
0.394,-0.062
0.396,-0.059
0.398,-0.056
0.400,-0.053
0.402,-0.052
0.404,-0.051
0.406,-0.051
0.408,-0.053
0.410,-0.056
0.412,-0.060
0.414,-0.064
0.416,-0.067
0.418,-0.069
0.420,-0.069
0.422,-0.067
0.424,-0.064
0.426,-0.060
0.428,-0.057
0.430,-0.055
0.432,-0.055
0.434,-0.057
0.436,-0.060
0.438,-0.063
0.440,-0.066
0.442,-0.069
0.444,-0.071
0.446,-0.071
0.448,-0.071
0.450,-0.070
0.452,-0.067
0.454,-0.065
0.456,-0.062
0.458,-0.059
0.460,-0.056
0.462,-0.055
0.464,-0.055
0.466,-0.056
0.468,-0.058
0.470,-0.061
0.472,-0.063
0.474,-0.064
0.476,-0.064
0.478,-0.063
0.480,-0.062
0.482,-0.062
0.484,-0.062
0.486,-0.063
0.488,-0.065
0.490,-0.066
0.492,-0.068
0.494,-0.069
0.496,-0.069
0.498,-0.068
0.500,-0.067
0.502,-0.066
0.504,-0.064
0.506,-0.062
0.508,-0.060
0.510,-0.059
0.512,-0.060
0.514,-0.061
0.516,-0.065
0.518,-0.068
0.520,-0.072
0.522,-0.075
0.524,-0.076
0.526,-0.075
0.528,-0.074
0.530,-0.071
0.532,-0.070
0.534,-0.069
0.536,-0.070
0.538,-0.072
0.540,-0.075
0.542,-0.078
0.544,-0.081
0.546,-0.082
0.548,-0.083
0.550,-0.083
0.552,-0.082
0.554,-0.080
0.556,-0.078
0.558,-0.074
0.560,-0.070
0.562,-0.066
0.564,-0.061
0.566,-0.056
0.568,-0.050
0.570,-0.046
0.572,-0.042
0.574,-0.038
0.576,-0.035
0.578,-0.033
0.580,-0.031
0.582,-0.031
0.584,-0.032
0.586,-0.033
0.588,-0.035
0.590,-0.037
0.592,-0.037
0.594,-0.035
0.596,-0.031
0.598,-0.025
0.600,-0.019
0.602,-0.012
0.604,-0.005
0.606,0.001
0.608,0.005
0.610,0.008
0.612,0.010
0.614,0.011
0.616,0.011
0.618,0.009
0.620,0.006
0.622,0.001
0.624,-0.005
0.626,-0.011
0.628,-0.018
0.630,-0.026
0.632,-0.034
0.634,-0.043
0.636,-0.053
0.638,-0.063
0.640,-0.072
0.642,-0.080
0.644,-0.086
0.646,-0.088
0.648,-0.088
0.650,-0.085
0.652,-0.080
0.654,-0.076
0.656,-0.071
0.658,-0.069
0.660,-0.069
0.662,-0.072
0.664,-0.077
0.666,-0.083
0.668,-0.087
0.670,-0.090
0.672,-0.089
0.674,-0.085
0.676,-0.078
0.678,-0.070
0.680,-0.065
0.682,-0.063
0.684,-0.066
0.686,-0.071
0.688,-0.079
0.690,-0.085
0.692,-0.089
0.694,-0.090
0.696,-0.091
0.698,-0.092
0.700,-0.097
0.702,-0.106
0.704,-0.116
0.706,-0.125
0.708,-0.127
0.710,-0.115
0.712,-0.084
0.714,-0.031
0.716,0.043
0.718,0.137
0.720,0.243
0.722,0.352
0.724,0.451
0.726,0.529
0.728,0.574
0.730,0.578
0.732,0.538
0.734,0.460
0.736,0.352
0.738,0.232
0.740,0.115
0.742,0.017
0.744,-0.054
0.746,-0.094
0.748,-0.106
0.750,-0.099
0.752,-0.081
0.754,-0.060
0.756,-0.042
0.758,-0.030
0.760,-0.025
0.762,-0.025
0.764,-0.030
0.766,-0.036
0.768,-0.042
0.770,-0.046
0.772,-0.046
0.774,-0.044
0.776,-0.039
0.778,-0.033
0.780,-0.028
0.782,-0.026
0.784,-0.027
0.786,-0.030
0.788,-0.034
0.790,-0.037
0.792,-0.038
0.794,-0.036
0.796,-0.031
0.798,-0.026
0.800,-0.021
0.802,-0.019
0.804,-0.020
0.806,-0.024
0.808,-0.029
0.810,-0.034
0.812,-0.037
0.814,-0.037
0.816,-0.034
0.818,-0.029
0.820,-0.023
0.822,-0.019
0.824,-0.015
0.826,-0.012
0.828,-0.010
0.830,-0.008
0.832,-0.005
0.834,-0.001
0.836,0.003
0.838,0.007
0.840,0.009
0.842,0.011
0.844,0.011
0.846,0.011
0.848,0.010
0.850,0.011
0.852,0.013
0.854,0.016
0.856,0.019
0.858,0.023
0.860,0.027
0.862,0.030
0.864,0.033
0.866,0.036
0.868,0.038
0.870,0.041
0.872,0.044
0.874,0.047
0.876,0.049
0.878,0.051
0.880,0.053
0.882,0.055
0.884,0.056
0.886,0.057
0.888,0.059
0.890,0.062
0.892,0.066
0.894,0.070
0.896,0.076
0.898,0.081
0.900,0.087
0.902,0.092
0.904,0.097
0.906,0.101
0.908,0.104
0.910,0.106
0.912,0.107
0.914,0.109
0.916,0.112
0.918,0.116
0.920,0.122
0.922,0.130
0.924,0.139
0.926,0.149
0.928,0.158
0.930,0.165
0.932,0.171
0.934,0.174
0.936,0.177
0.938,0.180
0.940,0.183
0.942,0.188
0.944,0.195
0.946,0.203
0.948,0.212
0.950,0.221
0.952,0.229
0.954,0.237
0.956,0.243
0.958,0.248
0.960,0.253
0.962,0.256
0.964,0.260
0.966,0.264
0.968,0.267
0.970,0.272
0.972,0.276
0.974,0.280
0.976,0.283
0.978,0.285
0.980,0.286
0.982,0.284
0.984,0.281
0.986,0.277
0.988,0.272
0.990,0.266
0.992,0.259
0.994,0.253
0.996,0.246
0.998,0.239
1.000,0.231
1.002,0.221
1.004,0.209
1.006,0.196
1.008,0.181
1.010,0.166
1.012,0.150
1.014,0.136
1.016,0.122
1.018,0.109
1.020,0.097
1.022,0.085
1.024,0.073
1.026,0.061
1.028,0.048
1.030,0.035
1.032,0.021
1.034,0.007
1.036,-0.006
1.038,-0.017
1.040,-0.027
1.042,-0.035
1.044,-0.040
1.046,-0.043
1.048,-0.045
1.050,-0.046
1.052,-0.048
1.054,-0.051
1.056,-0.054
1.058,-0.059
1.060,-0.064
1.062,-0.068
1.064,-0.071
1.066,-0.072
1.068,-0.071
1.070,-0.069
1.072,-0.067
1.074,-0.065
1.076,-0.064
1.078,-0.065
1.080,-0.067
1.082,-0.071
1.084,-0.075
1.086,-0.080
1.088,-0.084
1.090,-0.088
1.092,-0.090
1.094,-0.091
1.096,-0.090
1.098,-0.088
1.100,-0.084
1.102,-0.079
1.104,-0.073
1.106,-0.069
1.108,-0.066
1.110,-0.064
1.112,-0.064
1.114,-0.065
1.116,-0.068
1.118,-0.071
1.120,-0.074
1.122,-0.076
1.124,-0.078
1.126,-0.079
1.128,-0.079
1.130,-0.077
1.132,-0.074
1.134,-0.070
1.136,-0.066
1.138,-0.062
1.140,-0.058
1.142,-0.056
1.144,-0.055
1.146,-0.056
1.148,-0.057
1.150,-0.059
1.152,-0.060
1.154,-0.062
1.156,-0.062
1.158,-0.062
1.160,-0.061
1.162,-0.060
1.164,-0.059
1.166,-0.057
1.168,-0.055
1.170,-0.052
1.172,-0.049
1.174,-0.046
1.176,-0.043
1.178,-0.040
1.180,-0.039
1.182,-0.040
1.184,-0.042
1.186,-0.046
1.188,-0.050
1.190,-0.054
1.192,-0.057
1.194,-0.059
1.196,-0.059
1.198,-0.057
1.200,-0.054
1.202,-0.050
1.204,-0.045
1.206,-0.041
1.208,-0.038
1.210,-0.038
1.212,-0.039
1.214,-0.042
1.216,-0.046
1.218,-0.050
1.220,-0.052
1.222,-0.053
1.224,-0.052
1.226,-0.050
1.228,-0.046
1.230,-0.043
1.232,-0.041
1.234,-0.040
1.236,-0.040
1.238,-0.043
1.240,-0.047
1.242,-0.051
1.244,-0.056
1.246,-0.059
1.248,-0.062
1.250,-0.063
1.252,-0.063
